Bairro,Azulejo-Código,Procedência,Fábrica,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 35-1-1,Lisboa/Portugal,,"13,6 x 13,6cm",Cerâmica e vidrado Estampilha,Travessa Padre Prudêncio n° 514 e 518; Rua Gaspar Viana n° 80/84/88 e 96/98; Travessa Leão XIII n° 27/37; Rua 13 de Maio n° 520 e 524; Praça Visconde do Rio Branco n° 9,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.6,13.6,-1.4538014,-48.4966004
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 39-1-1,Portugal,,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Rua João Diogo n° 100,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4549318,-48.4990226
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 46-1-1,Lisboa/Portugal e Holanda,"Padrão igual na Koninkligke Fabriek Van Muurtegels-j. Vanhust, Harlingen","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Rua João Diogo n° 100; Travessa Quintino Bocaiúva n°1242; Rua Conselheiro João Alfredo n° 289; Avenida Nazaré n° 1189; Rua dos Mundurucus n° 1246; Avenida Conselheiro Furtado n° 1613,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4549318,-48.4990226
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 46-1-1,Lisboa/Portugal e Holanda,"Padrão igual na Koninkligke Fabriek Van Muurtegels-j. Vanhust, Harlingen","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Rua João Diogo n° 100; Travessa Quintino Bocaiúva n°1242; Rua Conselheiro João Alfredo n° 289; Avenida Nazaré n° 1189; Rua dos Mundurucus n° 1246; Avenida Conselheiro Furtado n° 1613,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4549318,-48.4990226
"Jurunas, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 46-1-1,Lisboa/Portugal e Holanda,"Padrão igual na Koninkligke Fabriek Van Muurtegels-j. Vanhust, Harlingen","13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Rua João Diogo n° 100; Travessa Quintino Bocaiúva n°1242; Rua Conselheiro João Alfredo n° 289; Avenida Nazaré n° 1189; Rua dos Mundurucus n° 1246; Avenida Conselheiro Furtado n° 1613,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4549318,-48.4990226
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 47-1-2,Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Travessa Major Joaquim Távora n°334,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4574739956140352,-48.501461151754384
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 47-2-3,Portugal,,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Rua Tomazia Perdigão n° 62,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4570552,-48.5028955
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-1,Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Rua Bailique/ Ferreira Cantão n° 2202,253; Travessa Frutuoso Guimarães n° 270/272 e 276/282/284; Avenida Senador Lemos n° 574; Travessa 7 de Setembro n° 35; Travessa 1º de Março n° 864; Travessa Major Joaquim Távora n° 327; Travessa Pedro Albuquerque n° 65 e 71; Avenida Generalíssimo Deodoro  n° 201; Travessa Benjamin Constant n° 415; Rua Ó de Almeida n° 810/831; Rua Senador Manoel Barata n° 277/279, 876, 983, 987 e 993; Avenida Nazaré n° 285; Avenida Assis de Vasconcelos n° 877; Rua Riachuelo n° 43 e 104; Rua Cametá n° 89 e 106; Travessa Padre Eutiquio n° 483/489, 493/495 e 1508; Travessa Campos Sales n° 517; Rua Angelo Custodio n° 35/41/45/47; Rua 13 de Maio n° 158/160 e 162/168; Rua 28 de Setembro n° 1181/1183 e 11871189; Rua Siqueira Mendes n° 152; Travessa Frei Gil de Vila Nova n° 993","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-1,Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Rua Bailique/ Ferreira Cantão n° 2202,253; Travessa Frutuoso Guimarães n° 270/272 e 276/282/284; Avenida Senador Lemos n° 574; Travessa 7 de Setembro n° 35; Travessa 1º de Março n° 864; Travessa Major Joaquim Távora n° 327; Travessa Pedro Albuquerque n° 65 e 71; Avenida Generalíssimo Deodoro  n° 201; Travessa Benjamin Constant n° 415; Rua Ó de Almeida n° 810/831; Rua Senador Manoel Barata n° 277/279, 876, 983, 987 e 993; Avenida Nazaré n° 285; Avenida Assis de Vasconcelos n° 877; Rua Riachuelo n° 43 e 104; Rua Cametá n° 89 e 106; Travessa Padre Eutiquio n° 483/489, 493/495 e 1508; Travessa Campos Sales n° 517; Rua Angelo Custodio n° 35/41/45/47; Rua 13 de Maio n° 158/160 e 162/168; Rua 28 de Setembro n° 1181/1183 e 11871189; Rua Siqueira Mendes n° 152; Travessa Frei Gil de Vila Nova n° 993","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Umarizal, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-1,Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Rua Bailique/ Ferreira Cantão n° 2202,253; Travessa Frutuoso Guimarães n° 270/272 e 276/282/284; Avenida Senador Lemos n° 574; Travessa 7 de Setembro n° 35; Travessa 1º de Março n° 864; Travessa Major Joaquim Távora n° 327; Travessa Pedro Albuquerque n° 65 e 71; Avenida Generalíssimo Deodoro  n° 201; Travessa Benjamin Constant n° 415; Rua Ó de Almeida n° 810/831; Rua Senador Manoel Barata n° 277/279, 876, 983, 987 e 993; Avenida Nazaré n° 285; Avenida Assis de Vasconcelos n° 877; Rua Riachuelo n° 43 e 104; Rua Cametá n° 89 e 106; Travessa Padre Eutiquio n° 483/489, 493/495 e 1508; Travessa Campos Sales n° 517; Rua Angelo Custodio n° 35/41/45/47; Rua 13 de Maio n° 158/160 e 162/168; Rua 28 de Setembro n° 1181/1183 e 11871189; Rua Siqueira Mendes n° 152; Travessa Frei Gil de Vila Nova n° 993","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Reduto, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-1,Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Rua Bailique/ Ferreira Cantão n° 2202,253; Travessa Frutuoso Guimarães n° 270/272 e 276/282/284; Avenida Senador Lemos n° 574; Travessa 7 de Setembro n° 35; Travessa 1º de Março n° 864; Travessa Major Joaquim Távora n° 327; Travessa Pedro Albuquerque n° 65 e 71; Avenida Generalíssimo Deodoro  n° 201; Travessa Benjamin Constant n° 415; Rua Ó de Almeida n° 810/831; Rua Senador Manoel Barata n° 277/279, 876, 983, 987 e 993; Avenida Nazaré n° 285; Avenida Assis de Vasconcelos n° 877; Rua Riachuelo n° 43 e 104; Rua Cametá n° 89 e 106; Travessa Padre Eutiquio n° 483/489, 493/495 e 1508; Travessa Campos Sales n° 517; Rua Angelo Custodio n° 35/41/45/47; Rua 13 de Maio n° 158/160 e 162/168; Rua 28 de Setembro n° 1181/1183 e 11871189; Rua Siqueira Mendes n° 152; Travessa Frei Gil de Vila Nova n° 993","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-1,Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Rua Bailique/ Ferreira Cantão n° 2202,253; Travessa Frutuoso Guimarães n° 270/272 e 276/282/284; Avenida Senador Lemos n° 574; Travessa 7 de Setembro n° 35; Travessa 1º de Março n° 864; Travessa Major Joaquim Távora n° 327; Travessa Pedro Albuquerque n° 65 e 71; Avenida Generalíssimo Deodoro  n° 201; Travessa Benjamin Constant n° 415; Rua Ó de Almeida n° 810/831; Rua Senador Manoel Barata n° 277/279, 876, 983, 987 e 993; Avenida Nazaré n° 285; Avenida Assis de Vasconcelos n° 877; Rua Riachuelo n° 43 e 104; Rua Cametá n° 89 e 106; Travessa Padre Eutiquio n° 483/489, 493/495 e 1508; Travessa Campos Sales n° 517; Rua Angelo Custodio n° 35/41/45/47; Rua 13 de Maio n° 158/160 e 162/168; Rua 28 de Setembro n° 1181/1183 e 11871189; Rua Siqueira Mendes n° 152; Travessa Frei Gil de Vila Nova n° 993","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-1,Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Rua Bailique/ Ferreira Cantão n° 2202,253; Travessa Frutuoso Guimarães n° 270/272 e 276/282/284; Avenida Senador Lemos n° 574; Travessa 7 de Setembro n° 35; Travessa 1º de Março n° 864; Travessa Major Joaquim Távora n° 327; Travessa Pedro Albuquerque n° 65 e 71; Avenida Generalíssimo Deodoro  n° 201; Travessa Benjamin Constant n° 415; Rua Ó de Almeida n° 810/831; Rua Senador Manoel Barata n° 277/279, 876, 983, 987 e 993; Avenida Nazaré n° 285; Avenida Assis de Vasconcelos n° 877; Rua Riachuelo n° 43 e 104; Rua Cametá n° 89 e 106; Travessa Padre Eutiquio n° 483/489, 493/495 e 1508; Travessa Campos Sales n° 517; Rua Angelo Custodio n° 35/41/45/47; Rua 13 de Maio n° 158/160 e 162/168; Rua 28 de Setembro n° 1181/1183 e 11871189; Rua Siqueira Mendes n° 152; Travessa Frei Gil de Vila Nova n° 993","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-2 (azul),Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Padre Prudêncio n° 586; Rua Senador Manoel Barata n° 880,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4538014,-48.4966004
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-3 (verde),Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Avenida General Gurjão n° 176; Rua Carlos Gomes n° 55; Avenida Governador José Malcher n° 1701; Rua Aristides Lobo n° 93,99 e 105; Rua Riachuelo n° 110, 126, 190, 196; Rua Cametá n° 119; Travessa Campos Sales n° 493, 608, 612 e 618","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.3649733,-48.2391604
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-3 (verde),Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Avenida General Gurjão n° 176; Rua Carlos Gomes n° 55; Avenida Governador José Malcher n° 1701; Rua Aristides Lobo n° 93,99 e 105; Rua Riachuelo n° 110, 126, 190, 196; Rua Cametá n° 119; Travessa Campos Sales n° 493, 608, 612 e 618","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.3649733,-48.2391604
"São Brás, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 49-1-3 (verde),Lisboa/Portugal semelhante a padrão inglês - Minpon. & Co,Calçado dos Cesteiros ou Roseira,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,"Avenida General Gurjão n° 176; Rua Carlos Gomes n° 55; Avenida Governador José Malcher n° 1701; Rua Aristides Lobo n° 93,99 e 105; Rua Riachuelo n° 110, 126, 190, 196; Rua Cametá n° 119; Travessa Campos Sales n° 493, 608, 612 e 618","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.3649733,-48.2391604
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 52-1-1,Porto e Lisboa/Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 56-1-1,Porto e Lisboa/Portugal,,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Travessa Benjamin Constant n° 1006 e 1012,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4479264,-48.4926168
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 58-1-2,Porto e Lisboa/Portugal,A.A.Costa & C Fa das Devezas de Vila Nova de Gaia,,Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 66-1-1,Porto/Portugal,A.A.Costa & C Fa - Antonio Almeida de Costa e Cia. das Devezas de Vila Nova de Gaia ou Desterro,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Travessa Padre Eutiquio n° 1508,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4601358,-48.4913805
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 67-1-1,Portugal Semelhante ao padrão holandês,,13 x 13cm,Cerâmica e vidrado Estampilha,Travessa Rui Barbosa n° 773,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.4463569861700591,-48.49496514070736
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 68-1-1,Provavelmente Portugal,,13 x 13cm,Cerâmica e vidrado Estampilha,Rua siqueira Mendes n° 144,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.3021009,-48.4894077
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 69-1-1,Provavelmente Portugal,,,Cerâmica e vidrado Estampilha,Rua Rodrigues Santos n° 295,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4574722,-48.5025318
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 70-1-1,Portugal,Padrão semelhante da V&B - Mettlach n° 107,"14,9 x 14,9cm",Cerâmica e vidrado Estampilha,Praça da Bandeira n° 72,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.9,14.9,-1.4548975,-48.5001725
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 71-1-1,Provavelmente Portugal,,"13,6 x 13,6cm",Cerâmica e vidrado Estampilha,Rua Padre Prudêncio n° 488,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.6,13.6,,
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 72-1-1,Provavelmente Porto/Portugal,,,Cerâmica e vidrado Estampilha,"Avenida Serzedelo Correa n° 1058, s/n° e 1048","Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4555337,-48.4918342
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 73-1-1,Provavelmente Portugal,,13 x 13cm,Cerâmica e vidrado Estampilha,Travessa Dom Romulado de Seixas n° 1718; Avenida Nazaré n° 31,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,,
"Umarizal, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 73-1-1,Provavelmente Portugal,,13 x 13cm,Cerâmica e vidrado Estampilha,Travessa Dom Romulado de Seixas n° 1718; Avenida Nazaré n° 31,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 74-1-1,Portugal,,,Cerâmica e vidrado Estampilha,Rua Conselheiro João Alfredo n° 196; Avenida Portugal n° 55; Travessa Benjamin Constant n° 1416,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4540567,-48.5031455
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 74-1-1,Portugal,,,Cerâmica e vidrado Estampilha,Rua Conselheiro João Alfredo n° 196; Avenida Portugal n° 55; Travessa Benjamin Constant n° 1416,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4540567,-48.5031455
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 75-1-1,Porto/Portugal,Cerâmica Carvalhinho - Padrão semelhante da V&B - Mettlach n° 164,,Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
"Reduto, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 76-1-1,Porto/Portugal,Cerâmica Carvalhinho,14 x 14cm,Cerâmica e vidrado Estampilha,Rua Ó de Almeida n° 755 e 757/759,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4515412,-48.4973671
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 77-1-1,Provavelmente Porto/Portugal,,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Rua Senador Manoel Barata n° 123,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.450417,-48.4971926
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 77-1-2,Provavelmente Porto/Portugal,,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Travessa Félix Roque n° 135; Avenida Nazaré n° 293 e 305,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4563888,-48.5044036
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 77-1-2,Provavelmente Porto/Portugal,,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Travessa Félix Roque n° 135; Avenida Nazaré n° 293 e 305,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4563888,-48.5044036
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 78-1-1,Porto/Portugal,,"13,2 x 13,2cm",Cerâmica e vidrado Estampilha,Travessa Benjamin Constant n° 1006 e 1012,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.2,13.2,-1.4479264,-48.4926168
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 79-1-1,Porto/Portugal,,"13,3 x 13,3cm",Cerâmica e vidrado Estampilha,Rua Marques de Pombal n° 128/130,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,13.3,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 80-1-1,Harlingen/Holanda,"Van Hurlst e Koninklijke Tichelaar, Makkum","12,8 x 12,8cm",Cerâmica e vidrado Estampilha,Rua Aristides Lobo n° 488; Rua Arcipreste Manoel Teodoro n° 756,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",12.8,12.8,-1.4516134,-48.4964524
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 80-1-1,Harlingen/Holanda,"Van Hurlst e Koninklijke Tichelaar, Makkum","12,8 x 12,8cm",Cerâmica e vidrado Estampilha,Rua Aristides Lobo n° 488; Rua Arcipreste Manoel Teodoro n° 756,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",12.8,12.8,-1.4516134,-48.4964524
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 81-1-1,Lisboa/Portugal,,"13,3 x 13,3cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,13.3,,
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 82-1-1,Provavelmente Portugal,,14 x 14cm,Cerâmica e vidrado Estampilha,Rua Cametá n° 125 e 133,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.3340798,-48.3899473
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 83-1-1,Porto/Portugal,Devezas de Vila Nova de Gaia,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Rua 15 de Novembro n° 43/57,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.1615771,-48.4688459
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 84-1-1,Lisboa/Portugal,Viúva Lamego,"13,7 x 13,7cm",Cerâmica e vidrado Estampilha,Rua Gaspar Viana n° 180/182; Travessa Leão XIII n° 21,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.7,13.7,-1.4460356,-48.4943324
"Umarizal, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 85-1-1,Porto/Portugal,,14 x 14cm,Cerâmica e vidrado Estampilha,Travessa Dom Romulado de Seixas n° 613,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,,
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 86-1-1,Provavelmente Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Travessa Campos Sales n° 591,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4543075,-48.4978101
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 87-1-1,Porto/Portugal,Provavelmente Fábrica das Devezas,13 x 13cm,Cerâmica e vidrado Estampilha,Travessa Campos Sales n° 484/490,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.4543075,-48.4978101
"Cidade Velha, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 87-1-2,Porto/Portugal,Provavelmente Fábrica das Devezas,13 x 13cm,Cerâmica e vidrado Estampilha,Avenida 16 de Novembro n° 406,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13,13,-1.1327089,-48.4566988
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 88-1-1,Porto/Portugal,,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Avenida Conselheiro Furtado n° 561,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,-1.4631195,-48.4949718
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 89-1-1,Porto/Portugal,A.A.Costa & C Fa das Devezas,14 x 14cm,Cerâmica e vidrado Estampilha,Rua dos Tamoios n° 1587,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4684763,-48.4974726
"Reduto, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 90-1-1,Portugal,,"13,4 x 13,4cm",Cerâmica e vidrado Estampilha,Travessa Quintino Bocaiúva n° 579; Rua 28 de Setembro n° 1181/1183,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.4,13.4,-0.7490741,-48.0223579
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 91-1-1,Portugal,A.A.Costa & C Fa das Devezas,14 x 14cm,Cerâmica e vidrado Estampilha,Travessa Frutuoso Guimarães n° 403; Rua Ó de Almeida n° 179,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.4510368,-48.5010789
"Campina, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 92-1-1,Porto/Portugal,A.A.Costa & C Fa das Devezas,14 x 14cm,Cerâmica e vidrado Estampilha,Rua Governador Magalhaes Barata n° 33; Travessa Rui Barbosa n° 1361; Travessa Dr. Moraes n° 31; Travessa São Francisco n° 60; Rua Senador Manoel Barata n° 153 e 157; Avenida Magalhães Barata n° 695; Travessa Padre Eutiquio n° 987; Travessa Campos Sales n° 600 e 604; Travessa Dr. Moraes n° 31 ,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.6243161,-48.8055244
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 92-1-1,Porto/Portugal,A.A.Costa & C Fa das Devezas,14 x 14cm,Cerâmica e vidrado Estampilha,Rua Governador Magalhaes Barata n° 33; Travessa Rui Barbosa n° 1361; Travessa Dr. Moraes n° 31; Travessa São Francisco n° 60; Rua Senador Manoel Barata n° 153 e 157; Avenida Magalhães Barata n° 695; Travessa Padre Eutiquio n° 987; Travessa Campos Sales n° 600 e 604; Travessa Dr. Moraes n° 31 ,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.6243161,-48.8055244
"São Brás, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 92-1-1,Porto/Portugal,A.A.Costa & C Fa das Devezas,14 x 14cm,Cerâmica e vidrado Estampilha,Rua Governador Magalhaes Barata n° 33; Travessa Rui Barbosa n° 1361; Travessa Dr. Moraes n° 31; Travessa São Francisco n° 60; Rua Senador Manoel Barata n° 153 e 157; Avenida Magalhães Barata n° 695; Travessa Padre Eutiquio n° 987; Travessa Campos Sales n° 600 e 604; Travessa Dr. Moraes n° 31 ,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,14,-1.6243161,-48.8055244
"Reduto, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 92-2-2,Portugal,FC - Ceramica Carvalhinho,"14,2 x 14,2cm",Cerâmica e vidrado Estampilha,Travessa benjamin Constant n° 452,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.2,14.2,-1.4479264,-48.4926168
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 93-1-1,Lisboa/Portugal,Viúva Lamego - Composição dos Azulejos de Caixilho,"13,5 x 13,5cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.5,13.5,,
", Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 93-1-2,Lisboa/Portugal,Viúva Lamego - Composição dos Azulejos de Caixilho,"13,3 x 13,3cm",Cerâmica e vidrado Estampilha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,13.3,,
"Nazaré, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 94-1-1,Porto/Portugal,,,Cerâmica e vidrado Estampilha,Travessa Benjamin Cosntant n° 1401,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
"Batista Campos, Belém, Pará, Brasil, Belém, Pará, Brasil",Azulejo-PE 95-1-1,Porto/Portugal,Massarelos,,Cerâmica e vidrado Estampilha,Rua dos Tamoios n° 1609 (Demolido antes de 2007),"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
